REF_AREA,TIME_PERIOD,OBS_VALUE,category
CRI,2022-Q1,10774967,GDP
CRI,2000-Q1,149626.5,Public_spending
CRI,1999-Q4,1084280.2,GDP
CRI,1993-Q4,265109.1,Consumption
CRI,1994-Q1,274483.3,Consumption
CRI,1991-Q1,146832.6,Consumption
CRI,1991-Q2,155567.2,Consumption
CRI,1991-Q3,164067.6,Consumption
CRI,1991-Q4,175818.8,Consumption
CRI,2013-Q1,4122101.7,Consumption
CRI,2023-Q2,7522789.5,Consumption
CRI,2023-Q3,7620938.2,Consumption
CRI,2023-Q4,7711160.9,Consumption
CRI,2024-Q1,7758262.7,Consumption
CRI,2024-Q2,7812331.7,Consumption
CRI,2024-Q3,7869629.8,Consumption
CRI,2024-Q4,7953886.2,Consumption
CRI,2001-Q2,849096,Consumption
CRI,2001-Q3,869277.2,Consumption
CRI,2001-Q4,898641.5,Consumption
CRI,2002-Q1,937724.6,Consumption
CRI,2002-Q2,979287.6,Consumption
CRI,2002-Q3,1029468,Consumption
CRI,2002-Q4,1070710.4,Consumption
CRI,2003-Q1,1109543.2,Consumption
CRI,2003-Q2,1152755.3,Consumption
CRI,2009-Q4,3024628.9,Consumption
CRI,2010-Q1,3106544.8,Consumption
CRI,2010-Q2,3200175.3,Consumption
CRI,2010-Q3,3287153.2,Consumption
CRI,2010-Q4,3357521.4,Consumption
CRI,2011-Q1,3435319,Consumption
CRI,2011-Q2,3567890.2,Consumption
CRI,2011-Q3,3643311.5,Consumption
CRI,2011-Q4,3777170.1,Consumption
CRI,2012-Q1,3880731.5,Consumption
CRI,2012-Q2,3970242.1,Consumption
CRI,2012-Q3,3995445.3,Consumption
CRI,2012-Q4,4093297,Consumption
CRI,1994-Q2,288606.6,Consumption
CRI,1994-Q3,303588.1,Consumption
CRI,1994-Q4,320368.9,Consumption
CRI,1995-Q1,343705.8,Consumption
CRI,1995-Q2,359442.1,Consumption
CRI,1995-Q3,376031,Consumption
CRI,1995-Q4,395710.4,Consumption
CRI,1996-Q1,413540.9,Consumption
CRI,1996-Q2,434361.8,Consumption
CRI,1996-Q3,450814.6,Consumption
CRI,1996-Q4,473794.6,Consumption
CRI,1997-Q1,489811.4,Consumption
CRI,1997-Q2,516282.7,Consumption
